KEGGPathID	Length	Genes
sao00250:Alanine, aspartate and glutamate metabolism - Staphylococcus aureus subsp. aureus NCTC8325	20	SAOUHSC_01497;SAOUHSC_02259;SAOUHSC_01452;SAOUHSC_01818;SAOUHSC_00899;SAOUHSC_00898;SAOUHSC_00019;SAOUHSC_02126;SAOUHSC_01166;SAOUHSC_02924;SAOUHSC_00435;SAOUHSC_00436;SAOUHSC_00895;SAOUHSC_02869;SAOUHSC_01287;SAOUHSC_01170;SAOUHSC_01169;SAOUHSC_01012;SAOUHSC_02399;SAOUHSC_01014
sao00562:Inositol phosphate metabolism - Staphylococcus aureus subsp. aureus NCTC8325	3	SAOUHSC_00051;SAOUHSC_01055;SAOUHSC_00797
sao05150:Staphylococcus aureus infection - Staphylococcus aureus subsp. aureus NCTC8325	36	SAOUHSC_02963;SAOUHSC_01081;SAOUHSC_00545;SAOUHSC_00544;SAOUHSC_02798;SAOUHSC_00069;SAOUHSC_02706;SAOUHSC_02171;SAOUHSC_00191;SAOUHSC_01115;SAOUHSC_02167;SAOUHSC_01114;SAOUHSC_00812;SAOUHSC_00392;SAOUHSC_02169;SAOUHSC_01112;SAOUHSC_00390;SAOUHSC_00399;SAOUHSC_02161;SAOUHSC_00667;SAOUHSC_00668;SAOUHSC_00869;SAOUHSC_00870;SAOUHSC_00871;SAOUHSC_00872;SAOUHSC_01359;SAOUHSC_02971;SAOUHSC_01954;SAOUHSC_01955;SAOUHSC_02241;SAOUHSC_02243;SAOUHSC_02708;SAOUHSC_02709;SAOUHSC_02710;SAOUHSC_01705;SAOUHSC_01133
sao00997:Biosynthesis of various other secondary metabolites - Staphylococcus aureus subsp. aureus NCTC8325	10	SAOUHSC_00083;SAOUHSC_00075;SAOUHSC_00076;SAOUHSC_00079;SAOUHSC_00082;SAOUHSC_00080;SAOUHSC_00077;SAOUHSC_02433;SAOUHSC_02436;SAOUHSC_02434
sao00998:Biosynthesis of various antibiotics - Staphylococcus aureus subsp. aureus NCTC8325	3	SAOUHSC_01201;SAOUHSC_00075;SAOUHSC_00076
sao00650:Butanoate metabolism - Staphylococcus aureus subsp. aureus NCTC8325	18	SAOUHSC_00336;SAOUHSC_00558;SAOUHSC_00196;SAOUHSC_00113;SAOUHSC_01104;SAOUHSC_01105;SAOUHSC_01103;SAOUHSC_02924;SAOUHSC_00187;SAOUHSC_01266;SAOUHSC_01267;SAOUHSC_02860;SAOUHSC_02282;SAOUHSC_02468;SAOUHSC_02283;SAOUHSC_02467;SAOUHSC_02921;SAOUHSC_00086
sao00052:Galactose metabolism - Staphylococcus aureus subsp. aureus NCTC8325	18	SAOUHSC_02614;SAOUHSC_00088;SAOUHSC_02801;SAOUHSC_02793;SAOUHSC_01646;SAOUHSC_00214;SAOUHSC_00215;SAOUHSC_00216;SAOUHSC_02453;SAOUHSC_01807;SAOUHSC_02452;SAOUHSC_02454;SAOUHSC_02455;SAOUHSC_02449;SAOUHSC_02451;SAOUHSC_02450;SAOUHSC_02268;SAOUHSC_01601
sao00520:Amino sugar and nucleotide sugar metabolism - Staphylococcus aureus subsp. aureus NCTC8325	28	SAOUHSC_01430;SAOUHSC_01836;SAOUHSC_00710;SAOUHSC_00552;SAOUHSC_02267;SAOUHSC_02399;SAOUHSC_02405;SAOUHSC_00471;SAOUHSC_00157;SAOUHSC_02337;SAOUHSC_02365;SAOUHSC_00752;SAOUHSC_00298;SAOUHSC_00295;SAOUHSC_00129;SAOUHSC_02352;SAOUHSC_00128;SAOUHSC_00118;SAOUHSC_00209;SAOUHSC_00155;SAOUHSC_02848;SAOUHSC_01646;SAOUHSC_02793;SAOUHSC_02801;SAOUHSC_00088;SAOUHSC_00900;SAOUHSC_02976;SAOUHSC_02385
sao00541:O-Antigen nucleotide sugar biosynthesis - Staphylococcus aureus subsp. aureus NCTC8325	12	SAOUHSC_02801;SAOUHSC_00088;SAOUHSC_02976;SAOUHSC_02385;SAOUHSC_00471;SAOUHSC_00129;SAOUHSC_02352;SAOUHSC_00128;SAOUHSC_00118;SAOUHSC_00119;SAOUHSC_00120;SAOUHSC_00117
sao00760:Nicotinate and nicotinamide metabolism - Staphylococcus aureus subsp. aureus NCTC8325	7	SAOUHSC_02133;SAOUHSC_02380;SAOUHSC_00097;SAOUHSC_01697;SAOUHSC_02132;SAOUHSC_02457;SAOUHSC_00943
sao00030:Pentose phosphate pathway - Staphylococcus aureus subsp. aureus NCTC8325	21	SAOUHSC_00900;SAOUHSC_01599;SAOUHSC_02143;SAOUHSC_01605;SAOUHSC_01189;SAOUHSC_01337;SAOUHSC_01901;SAOUHSC_02612;SAOUHSC_00553;SAOUHSC_00554;SAOUHSC_00100;SAOUHSC_02379;SAOUHSC_00239;SAOUHSC_00101;SAOUHSC_02793;SAOUHSC_00472;SAOUHSC_02808;SAOUHSC_02926;SAOUHSC_02366;SAOUHSC_02822;SAOUHSC_01807
sao02010:ABC transporters - Staphylococcus aureus subsp. aureus NCTC8325	84	SAOUHSC_02549;SAOUHSC_02547;SAOUHSC_02546;SAOUHSC_01049;SAOUHSC_01048;SAOUHSC_01047;SAOUHSC_01046;SAOUHSC_00732;SAOUHSC_02742;SAOUHSC_02741;SAOUHSC_02743;SAOUHSC_00731;SAOUHSC_02744;SAOUHSC_00175;SAOUHSC_00176;SAOUHSC_00177;SAOUHSC_00178;SAOUHSC_00240;SAOUHSC_01389;SAOUHSC_01387;SAOUHSC_01386;SAOUHSC_01385;SAOUHSC_00105;SAOUHSC_00102;SAOUHSC_00103;SAOUHSC_00104;SAOUHSC_02699;SAOUHSC_02698;SAOUHSC_02697;SAOUHSC_01991;SAOUHSC_01990;SAOUHSC_00426;SAOUHSC_00844;SAOUHSC_00424;SAOUHSC_00843;SAOUHSC_00423;SAOUHSC_00842;SAOUHSC_00927;SAOUHSC_00923;SAOUHSC_00924;SAOUHSC_00925;SAOUHSC_00926;SAOUHSC_02767;SAOUHSC_02766;SAOUHSC_02765;SAOUHSC_02764;SAOUHSC_02763;SAOUHSC_02430;SAOUHSC_02427;SAOUHSC_02428;SAOUHSC_00634;SAOUHSC_00636;SAOUHSC_00637;SAOUHSC_02690;SAOUHSC_01656;SAOUHSC_01657;SAOUHSC_02552;SAOUHSC_02481;SAOUHSC_01019;SAOUHSC_03018;SAOUHSC_02483;SAOUHSC_02482;SAOUHSC_00642;SAOUHSC_02008;SAOUHSC_00641;SAOUHSC_02009;SAOUHSC_02641;SAOUHSC_02640;SAOUHSC_03037;SAOUHSC_03036;SAOUHSC_01947;SAOUHSC_01945;SAOUHSC_01948;SAOUHSC_02833;SAOUHSC_02832;SAOUHSC_02953;SAOUHSC_02954;SAOUHSC_00668;SAOUHSC_00667;SAOUHSC_02719;SAOUHSC_02718;SAOUHSC_00647;SAOUHSC_00693;SAOUHSC_00692
sao00010:Glycolysis / Gluconeogenesis - Staphylococcus aureus subsp. aureus NCTC8325	38	SAOUHSC_01646;SAOUHSC_00900;SAOUHSC_01807;SAOUHSC_02822;SAOUHSC_02926;SAOUHSC_02366;SAOUHSC_00797;SAOUHSC_00795;SAOUHSC_01794;SAOUHSC_00796;SAOUHSC_00359;SAOUHSC_02703;SAOUHSC_00798;SAOUHSC_00799;SAOUHSC_01806;SAOUHSC_01040;SAOUHSC_01041;SAOUHSC_01042;SAOUHSC_01043;SAOUHSC_01614;SAOUHSC_01266;SAOUHSC_01267;SAOUHSC_02922;SAOUHSC_00206;SAOUHSC_00113;SAOUHSC_00608;SAOUHSC_00132;SAOUHSC_02363;SAOUHSC_01846;SAOUHSC_02929;SAOUHSC_02614;SAOUHSC_02793;SAOUHSC_01910;SAOUHSC_00236;SAOUHSC_01430;SAOUHSC_00209;SAOUHSC_00155;SAOUHSC_02848
sao00071:Fatty acid degradation - Staphylococcus aureus subsp. aureus NCTC8325	10	SAOUHSC_00336;SAOUHSC_00558;SAOUHSC_00195;SAOUHSC_00196;SAOUHSC_00197;SAOUHSC_00198;SAOUHSC_00113;SAOUHSC_00608;SAOUHSC_00132;SAOUHSC_02363
sao00350:Tyrosine metabolism - Staphylococcus aureus subsp. aureus NCTC8325	4	SAOUHSC_03012;SAOUHSC_00733;SAOUHSC_00113;SAOUHSC_00608
sao00620:Pyruvate metabolism - Staphylococcus aureus subsp. aureus NCTC8325	41	SAOUHSC_01846;SAOUHSC_02929;SAOUHSC_01266;SAOUHSC_01267;SAOUHSC_01040;SAOUHSC_01041;SAOUHSC_01042;SAOUHSC_01043;SAOUHSC_01614;SAOUHSC_00187;SAOUHSC_00113;SAOUHSC_00608;SAOUHSC_01820;SAOUHSC_00574;SAOUHSC_01806;SAOUHSC_01808;SAOUHSC_01710;SAOUHSC_01624;SAOUHSC_01623;SAOUHSC_01709;SAOUHSC_01809;SAOUHSC_01406;SAOUHSC_00132;SAOUHSC_02363;SAOUHSC_02849;SAOUHSC_02922;SAOUHSC_00206;SAOUHSC_02830;SAOUHSC_02875;SAOUHSC_01644;SAOUHSC_00533;SAOUHSC_01810;SAOUHSC_01064;SAOUHSC_02927;SAOUHSC_02647;SAOUHSC_01983;SAOUHSC_01910;SAOUHSC_00336;SAOUHSC_00558;SAOUHSC_00914;SAOUHSC_02285
sao00625:Chloroalkane and chloroalkene degradation - Staphylococcus aureus subsp. aureus NCTC8325	4	SAOUHSC_00608;SAOUHSC_00113;SAOUHSC_00132;SAOUHSC_02363
sao00626:Naphthalene degradation - Staphylococcus aureus subsp. aureus NCTC8325	2	SAOUHSC_00608;SAOUHSC_00113
sao00552:Teichoic acid biosynthesis - Staphylococcus aureus subsp. aureus NCTC8325	23	SAOUHSC_00691;SAOUHSC_01423;SAOUHSC_00762;SAOUHSC_00640;SAOUHSC_00643;SAOUHSC_00548;SAOUHSC_00547;SAOUHSC_00869;SAOUHSC_00871;SAOUHSC_00870;SAOUHSC_00872;SAOUHSC_01361;SAOUHSC_00997;SAOUHSC_02583;SAOUHSC_00222;SAOUHSC_00227;SAOUHSC_00223;SAOUHSC_00228;SAOUHSC_00953;SAOUHSC_00728;SAOUHSC_00713;SAOUHSC_01213;SAOUHSC_00117
sao00860:Porphyrin metabolism - Staphylococcus aureus subsp. aureus NCTC8325	16	SAOUHSC_01776;SAOUHSC_02000;SAOUHSC_01771;SAOUHSC_01772;SAOUHSC_01774;SAOUHSC_01773;SAOUHSC_01962;SAOUHSC_01960;SAOUHSC_01961;SAOUHSC_00573;SAOUHSC_02682;SAOUHSC_02945;SAOUHSC_01066;SAOUHSC_01065;SAOUHSC_00130;SAOUHSC_01089
sao00053:Ascorbate and aldarate metabolism - Staphylococcus aureus subsp. aureus NCTC8325	5	SAOUHSC_00312;SAOUHSC_00311;SAOUHSC_00310;SAOUHSC_00132;SAOUHSC_02363
sao00280:Valine, leucine and isoleucine degradation - Staphylococcus aureus subsp. aureus NCTC8325	12	SAOUHSC_00536;SAOUHSC_01613;SAOUHSC_01612;SAOUHSC_01611;SAOUHSC_01043;SAOUHSC_01614;SAOUHSC_00195;SAOUHSC_00132;SAOUHSC_02363;SAOUHSC_00336;SAOUHSC_00558;SAOUHSC_02860
sao00310:Lysine degradation - Staphylococcus aureus subsp. aureus NCTC8325	9	SAOUHSC_01416;SAOUHSC_01043;SAOUHSC_01614;SAOUHSC_00197;SAOUHSC_00336;SAOUHSC_00558;SAOUHSC_01867;SAOUHSC_00132;SAOUHSC_02363
sao00330:Arginine and proline metabolism - Staphylococcus aureus subsp. aureus NCTC8325	10	SAOUHSC_00132;SAOUHSC_02363;SAOUHSC_02134;SAOUHSC_02409;SAOUHSC_00894;SAOUHSC_00150;SAOUHSC_01597;SAOUHSC_01884;SAOUHSC_02869;SAOUHSC_01867
sao00380:Tryptophan metabolism - Staphylococcus aureus subsp. aureus NCTC8325	9	SAOUHSC_01416;SAOUHSC_01043;SAOUHSC_01614;SAOUHSC_00197;SAOUHSC_00336;SAOUHSC_00558;SAOUHSC_00132;SAOUHSC_02363;SAOUHSC_01327
sao00410:beta-Alanine metabolism - Staphylococcus aureus subsp. aureus NCTC8325	5	SAOUHSC_02916;SAOUHSC_02924;SAOUHSC_00132;SAOUHSC_02363;SAOUHSC_02918
sao00561:Glycerolipid metabolism - Staphylococcus aureus subsp. aureus NCTC8325	15	SAOUHSC_02723;SAOUHSC_00756;SAOUHSC_00132;SAOUHSC_02363;SAOUHSC_00655;SAOUHSC_00656;SAOUHSC_01276;SAOUHSC_01197;SAOUHSC_01350;SAOUHSC_01837;SAOUHSC_02114;SAOUHSC_03006;SAOUHSC_00300;SAOUHSC_00953;SAOUHSC_00728
sao00770:Pantothenate and CoA biosynthesis - Staphylococcus aureus subsp. aureus NCTC8325	18	SAOUHSC_02282;SAOUHSC_02468;SAOUHSC_02283;SAOUHSC_02284;SAOUHSC_02281;SAOUHSC_02919;SAOUHSC_02920;SAOUHSC_02739;SAOUHSC_02918;SAOUHSC_02371;SAOUHSC_01178;SAOUHSC_01075;SAOUHSC_01795;SAOUHSC_02306;SAOUHSC_00536;SAOUHSC_02916;SAOUHSC_00132;SAOUHSC_02363
sao00630:Glyoxylate and dicarboxylate metabolism - Staphylococcus aureus subsp. aureus NCTC8325	21	SAOUHSC_01846;SAOUHSC_02929;SAOUHSC_01802;SAOUHSC_01347;SAOUHSC_00336;SAOUHSC_00558;SAOUHSC_01327;SAOUHSC_00866;SAOUHSC_00538;SAOUHSC_01287;SAOUHSC_02354;SAOUHSC_01633;SAOUHSC_01632;SAOUHSC_01634;SAOUHSC_01043;SAOUHSC_01614;SAOUHSC_00836;SAOUHSC_02723;SAOUHSC_00756;SAOUHSC_00142;SAOUHSC_02582
sao00680:Methane metabolism - Staphylococcus aureus subsp. aureus NCTC8325	18	SAOUHSC_00142;SAOUHSC_02582;SAOUHSC_02354;SAOUHSC_00799;SAOUHSC_02926;SAOUHSC_02366;SAOUHSC_02822;SAOUHSC_01807;SAOUHSC_00554;SAOUHSC_00553;SAOUHSC_01820;SAOUHSC_00574;SAOUHSC_01846;SAOUHSC_02929;SAOUHSC_00359;SAOUHSC_02703;SAOUHSC_00798;SAOUHSC_01833
sao00220:Arginine biosynthesis - Staphylococcus aureus subsp. aureus NCTC8325	18	SAOUHSC_02968;SAOUHSC_01128;SAOUHSC_00899;SAOUHSC_00898;SAOUHSC_02409;SAOUHSC_02561;SAOUHSC_02559;SAOUHSC_02558;SAOUHSC_02969;SAOUHSC_02134;SAOUHSC_01012;SAOUHSC_01287;SAOUHSC_00895;SAOUHSC_02965;SAOUHSC_01129;SAOUHSC_00148;SAOUHSC_00147;SAOUHSC_00149
sao02060:Phosphotransferase system (PTS) - Staphylococcus aureus subsp. aureus NCTC8325	24	SAOUHSC_01029;SAOUHSC_01028;SAOUHSC_00155;SAOUHSC_02848;SAOUHSC_01430;SAOUHSC_01836;SAOUHSC_00209;SAOUHSC_00158;SAOUHSC_02661;SAOUHSC_02597;SAOUHSC_00437;SAOUHSC_02975;SAOUHSC_02402;SAOUHSC_02400;SAOUHSC_02451;SAOUHSC_02450;SAOUHSC_00214;SAOUHSC_00215;SAOUHSC_00216;SAOUHSC_00312;SAOUHSC_00311;SAOUHSC_00310;SAOUHSC_00708;SAOUHSC_00707
sao00500:Starch and sucrose metabolism - Staphylococcus aureus subsp. aureus NCTC8325	15	SAOUHSC_00158;SAOUHSC_02661;SAOUHSC_02268;SAOUHSC_01601;SAOUHSC_02801;SAOUHSC_00236;SAOUHSC_01430;SAOUHSC_00209;SAOUHSC_02597;SAOUHSC_00437;SAOUHSC_00438;SAOUHSC_02793;SAOUHSC_01646;SAOUHSC_00900;SAOUHSC_02267
sao02024:Quorum sensing - Staphylococcus aureus subsp. aureus NCTC8325	60	SAOUHSC_02375;SAOUHSC_01281;SAOUHSC_01366;SAOUHSC_01367;SAOUHSC_02315;SAOUHSC_00198;SAOUHSC_01889;SAOUHSC_00621;SAOUHSC_02262;SAOUHSC_02261;SAOUHSC_02264;SAOUHSC_02265;SAOUHSC_02260;SAOUHSC_01135;SAOUHSC_01136;SAOUHSC_01879;SAOUHSC_00927;SAOUHSC_00923;SAOUHSC_00924;SAOUHSC_00925;SAOUHSC_00926;SAOUHSC_00170;SAOUHSC_00201;SAOUHSC_00928;SAOUHSC_00168;SAOUHSC_01380;SAOUHSC_00931;SAOUHSC_00169;SAOUHSC_01379;SAOUHSC_00932;SAOUHSC_00167;SAOUHSC_01378;SAOUHSC_00929;SAOUHSC_01377;SAOUHSC_00930;SAOUHSC_02452;SAOUHSC_02327;SAOUHSC_01935;SAOUHSC_01936;SAOUHSC_01938;SAOUHSC_01942;SAOUHSC_00988;SAOUHSC_00961;SAOUHSC_01746;SAOUHSC_00516;SAOUHSC_00801;SAOUHSC_02989;SAOUHSC_02491;SAOUHSC_01747;SAOUHSC_02985;SAOUHSC_00769;SAOUHSC_01205;SAOUHSC_01207;SAOUHSC_01953;SAOUHSC_01952;SAOUHSC_01951;SAOUHSC_01949;SAOUHSC_01948;SAOUHSC_01947;SAOUHSC_01945
sao00430:Taurine and hypotaurine metabolism - Staphylococcus aureus subsp. aureus NCTC8325	6	SAOUHSC_00171;SAOUHSC_01452;SAOUHSC_01818;SAOUHSC_00895;SAOUHSC_00574;SAOUHSC_01820
sao00460:Cyanoamino acid metabolism - Staphylococcus aureus subsp. aureus NCTC8325	3	SAOUHSC_00171;SAOUHSC_01497;SAOUHSC_02354
sao00480:Glutathione metabolism - Staphylococcus aureus subsp. aureus NCTC8325	8	SAOUHSC_00171;SAOUHSC_01708;SAOUHSC_00879;SAOUHSC_01801;SAOUHSC_01605;SAOUHSC_01599;SAOUHSC_01282;SAOUHSC_02949
sao00640:Propanoate metabolism - Staphylococcus aureus subsp. aureus NCTC8325	22	SAOUHSC_01846;SAOUHSC_02929;SAOUHSC_01820;SAOUHSC_00574;SAOUHSC_01613;SAOUHSC_01612;SAOUHSC_01611;SAOUHSC_01043;SAOUHSC_01614;SAOUHSC_00187;SAOUHSC_02652;SAOUHSC_01808;SAOUHSC_01710;SAOUHSC_01624;SAOUHSC_01623;SAOUHSC_01709;SAOUHSC_01809;SAOUHSC_02924;SAOUHSC_01216;SAOUHSC_01218;SAOUHSC_02922;SAOUHSC_00206
