KEGGPathID	Length	Genes
map01220:Degradation of aromatic compounds	11	SE16__00174;SE16__01222;SE16__00195;SE16__00404;SE16__00216;SE16__01309;SE16__00575;SE16__01135;SE16__01003;SE16__00680;SE16__01650;SE16__01158;SE16__01578
map00010:Glycolysis / Gluconeogenesis	21	SE16__02177;SE16__00326;SE16__01397;SE16__00154;SE16__02018;SE16__00910;SE16__01896;SE16__00152;SE16__01408;SE16__01407;SE16__00801;SE16__00327;SE16__01974;SE16__01586;SE16__00330;SE16__02159;SE16__00328;SE16__01111;SE16__00691;SE16__00909;SE16__01229;SE16__00329;SE16__02115;SE16__01435;SE16__00952
map00020:Citrate cycle (TCA cycle)	13	SE16__00236;SE16__01341;SE16__00143;SE16__01588;SE16__00154;SE16__02018;SE16__00910;SE16__01034;SE16__01896;SE16__00152;SE16__01974;SE16__00683;SE16__02013;SE16__01580;SE16__00777;SE16__00909
map00030:Pentose phosphate pathway	14	SE16__00761;SE16__00758;SE16__00613;SE16__01408;SE16__02077;SE16__01858;SE16__01586;SE16__00976;SE16__02161;SE16__01856;SE16__01229;SE16__01525;SE16__00121;SE16__01209
map00040:Pentose and glucuronate interconversions	6	SE16__02158;SE16__00976;SE16__00443;SE16__01226;SE16__00429;SE16__00145
map00051:Fructose and mannose metabolism	6	SE16__01408;SE16__02100;SE16__01586;SE16__00328;SE16__01229;SE16__02162;SE16__00246
map00052:Galactose metabolism	10	SE16__01408;SE16__01246;SE16__00760;SE16__01560;SE16__01763;SE16__01759;SE16__02159;SE16__01757;SE16__01756;SE16__01762;SE16__01760
map00053:Ascorbate and aldarate metabolism	7	SE16__00662;SE16__01226;SE16__00429;SE16__02112;SE16__00249;SE16__00203;SE16__00145
map00500:Starch and sucrose metabolism	5	SE16__00760;SE16__01560;SE16__02222;SE16__01111;SE16__00691;SE16__02214;SE16__01327
map00520:Amino sugar and nucleotide sugar metabolism	18	SE16__01821;SE16__01844;SE16__01871;SE16__00801;SE16__01832;SE16__00122;SE16__01111;SE16__00691;SE16__02063;SE16__01872;SE16__01250;SE16__02078;SE16__01248;SE16__01572;SE16__02213;SE16__01919;SE16__00322;SE16__01566;SE16__01885;SE16__00580;SE16__00444;SE16__02115;SE16__01435;SE16__00074;SE16__00441;SE16__00119
map00620:Pyruvate metabolism	20	SE16__02177;SE16__00236;SE16__01411;SE16__01341;SE16__00143;SE16__01588;SE16__02178;SE16__02116;SE16__00154;SE16__02018;SE16__00910;SE16__01896;SE16__00152;SE16__01407;SE16__01421;SE16__01974;SE16__02013;SE16__00777;SE16__00776;SE16__00855;SE16__00909;SE16__01220;SE16__01843;SE16__02129;SE16__00104;SE16__00085;SE16__00952
map00630:Glyoxylate and dicarboxylate metabolism	10	SE16__00236;SE16__00789;SE16__00788;SE16__01834;SE16__01290;SE16__00293;SE16__00683;SE16__01580;SE16__00604;SE16__00856;SE16__00365;SE16__01410;SE16__01409
map00640:Propanoate metabolism	14	SE16__02177;SE16__01898;SE16__00767;SE16__01897;SE16__00766;SE16__02018;SE16__01421;SE16__01580;SE16__00776;SE16__00855;SE16__00765;SE16__00104;SE16__00967;SE16__02130;SE16__00856;SE16__00365;SE16__01410;SE16__01409;SE16__00620;SE16__00952
map00650:Butanoate metabolism	8	SE16__02018;SE16__00910;SE16__01034;SE16__02179;SE16__01574;SE16__00755;SE16__00909;SE16__01935
map00660:C5-Branched dibasic acid metabolism	4	SE16__01579;SE16__02179;SE16__01574;SE16__01577
map00562:Inositol phosphate metabolism	2	SE16__00328;SE16__01845
map00190:Oxidative phosphorylation	21	SE16__01034;SE16__01602;SE16__01178;SE16__01904;SE16__01258;SE16__01830;SE16__01829;SE16__01826;SE16__01827;SE16__01823;SE16__01824;SE16__01058;SE16__01931;SE16__01932;SE16__01933;SE16__02272;SE16__00011;SE16__00453;SE16__00061;SE16__00398;SE16__01523
map00195:Photosynthesis	5	SE16__01830;SE16__01829;SE16__01826;SE16__01827;SE16__01823
map00710:Carbon fixation in photosynthetic organisms	10	SE16__00236;SE16__00326;SE16__01397;SE16__00613;SE16__00327;SE16__01974;SE16__01586;SE16__00976;SE16__00328;SE16__02161;SE16__01229
map00720:Carbon fixation pathways in prokaryotes	17	SE16__00236;SE16__02018;SE16__00910;SE16__01034;SE16__01421;SE16__02013;SE16__01580;SE16__01440;SE16__00777;SE16__00776;SE16__00855;SE16__00909;SE16__00104;SE16__00391;SE16__00967;SE16__02130;SE16__00856;SE16__00365;SE16__01405;SE16__01032
map00680:Methane metabolism	16	SE16__00236;SE16__01433;SE16__02018;SE16__01199;SE16__01834;SE16__01408;SE16__01421;SE16__01586;SE16__00330;SE16__01229;SE16__00121;SE16__01404;SE16__00317;SE16__00104;SE16__00329;SE16__02151;SE16__01264
map00910:Nitrogen metabolism	6	SE16__00419;SE16__01200;SE16__00155;SE16__00400;SE16__01993;SE16__00768;SE16__00098;SE16__00180;SE16__01113;SE16__00648;SE16__00210;SE16__00537
map00920:Sulfur metabolism	12	SE16__01608;SE16__01603;SE16__01682;SE16__01610;SE16__01604;SE16__00440;SE16__01311;SE16__02253;SE16__00157;SE16__01191;SE16__00253;SE16__01995;SE16__01188;SE16__01960
map00061:Fatty acid biosynthesis	1	SE16__00776;SE16__00855
map00121:Secondary bile acid biosynthesis	2	SE16__01260;SE16__00800
map00140:Steroid hormone biosynthesis	1	SE16__00919
map00561:Glycerolipid metabolism	11	SE16__01436;SE16__00899;SE16__01290;SE16__00293;SE16__00221;SE16__00687;SE16__00969;SE16__00173;SE16__00172;SE16__00171;SE16__01154;SE16__00623;SE16__00266
map00564:Glycerophospholipid metabolism	9	SE16__00898;SE16__01436;SE16__00686;SE16__01182;SE16__01241;SE16__00420;SE16__01053;SE16__01430;SE16__00881;SE16__01810;SE16__01809;SE16__01512;SE16__01154;SE16__00623;SE16__00916;SE16__00938
map00600:Sphingolipid metabolism	1	SE16__01504;SE16__00276
map00230:Purine metabolism	35	SE16__01166;SE16__00607;SE16__00281;SE16__00282;SE16__01918;SE16__02067;SE16__01921;SE16__01603;SE16__00180;SE16__00729;SE16__02077;SE16__01682;SE16__01610;SE16__01604;SE16__01353;SE16__01240;SE16__00562;SE16__01575;SE16__01683;SE16__01684;SE16__01685;SE16__01927;SE16__00087;SE16__01926;SE16__01804;SE16__01925;SE16__01856;SE16__01167;SE16__00852;SE16__01010;SE16__00753;SE16__02256;SE16__00383;SE16__00587;SE16__00911;SE16__00982;SE16__01917;SE16__01920;SE16__01601;SE16__01924;SE16__01922;SE16__01083;SE16__01688;SE16__00437
map00240:Pyrimidine metabolism	23	SE16__02189;SE16__00281;SE16__00282;SE16__00696;SE16__00997;SE16__01857;SE16__00822;SE16__01833;SE16__00729;SE16__00522;SE16__00993;SE16__01847;SE16__00999;SE16__00436;SE16__01959;SE16__01742;SE16__02256;SE16__00383;SE16__00587;SE16__00911;SE16__00941;SE16__01934;SE16__01741;SE16__00132;SE16__01559;SE16__01601;SE16__01688
map00250:Alanine, aspartate and glutamate metabolism	11	SE16__01418;SE16__00419;SE16__01200;SE16__00997;SE16__01921;SE16__01871;SE16__01514;SE16__00421;SE16__00422;SE16__00738;SE16__01554
map00260:Glycine, serine and threonine metabolism	16	SE16__00598;SE16__01433;SE16__01596;SE16__00661;SE16__00789;SE16__00788;SE16__01834;SE16__01290;SE16__00293;SE16__00660;SE16__00597;SE16__00640;SE16__01212;SE16__02190;SE16__02064;SE16__00329;SE16__01188;SE16__00666
map00270:Cysteine and methionine metabolism	21	SE16__00598;SE16__02177;SE16__00236;SE16__01433;SE16__00661;SE16__01137;SE16__01973;SE16__00445;SE16__00660;SE16__00597;SE16__01212;SE16__01010;SE16__01854;SE16__01428;SE16__02136;SE16__01582;SE16__01187;SE16__01188;SE16__00844;SE16__00599;SE16__01859;SE16__01138;SE16__00666
map00280:Valine, leucine and isoleucine degradation	7	SE16__01898;SE16__00767;SE16__01897;SE16__00766;SE16__00445;SE16__01059;SE16__00765;SE16__00856;SE16__00365;SE16__01410;SE16__01409
map00290:Valine, leucine and isoleucine biosynthesis	6	SE16__01579;SE16__01576;SE16__00445;SE16__01574;SE16__01573;SE16__01577
map00300:Lysine biosynthesis	11	SE16__00598;SE16__00661;SE16__00272;SE16__01548;SE16__00660;SE16__00597;SE16__01646;SE16__00581;SE16__01797;SE16__01803;SE16__01498;SE16__01445;SE16__02107;SE16__01853;SE16__01404;SE16__01014;SE16__00994
map00310:Lysine degradation	4	SE16__01454;SE16__00190;SE16__00663;SE16__00666
map00220:Arginine biosynthesis	13	SE16__00781;SE16__00419;SE16__01519;SE16__00179;SE16__01641;SE16__00780;SE16__00180;SE16__01683;SE16__01684;SE16__01685;SE16__01643;SE16__00421;SE16__00422;SE16__00738
map00330:Arginine and proline metabolism	6	SE16__01519;SE16__01454;SE16__02097;SE16__00436;SE16__01959;SE16__00890;SE16__00663
map00340:Histidine metabolism	8	SE16__00136;SE16__00137;SE16__00133;SE16__00134;SE16__01038;SE16__02208;SE16__00131;SE16__00213
map00350:Tyrosine metabolism	2	SE16__01634;SE16__02166;SE16__00448
map00360:Phenylalanine metabolism	3	SE16__01454;SE16__02098;SE16__00038;SE16__01570;SE16__01309
map00380:Tryptophan metabolism	1	SE16__00604
map00400:Phenylalanine, tyrosine and tryptophan biosynthesis	11	SE16__00849;SE16__01383;SE16__00634;SE16__00726;SE16__00640;SE16__00728;SE16__00361;SE16__01442;SE16__01520;SE16__02064;SE16__00637;SE16__00638
map00410:beta-Alanine metabolism	2	SE16__02183;SE16__02182
map00430:Taurine and hypotaurine metabolism	5	SE16__01418;SE16__00419;SE16__02103;SE16__01421;SE16__00104
map00440:Phosphonate and phosphinate metabolism	3	SE16__00996;SE16__00247;SE16__00274;SE16__02203;SE16__01218
map00450:Selenocompound metabolism	7	SE16__01137;SE16__01682;SE16__01610;SE16__01604;SE16__01139;SE16__02087;SE16__01138
map00460:Cyanoamino acid metabolism	2	SE16__01834;SE16__02103
map00470:D-Amino acid metabolism	11	SE16__01454;SE16__01031;SE16__00204;SE16__00581;SE16__01797;SE16__00738;SE16__01226;SE16__00393;SE16__00663;SE16__01774;SE16__00666;SE16__00475
map00480:Glutathione metabolism	8	SE16__00761;SE16__00758;SE16__00894;SE16__01611;SE16__02103;SE16__00401;SE16__01612;SE16__00854;SE16__02244;SE16__01906;SE16__00364
map00511:Other glycan degradation	1	SE16__01961;SE16__00490;SE16__02205
map00540:Lipopolysaccharide biosynthesis	5	SE16__02215;SE16__02223;SE16__00102;SE16__00600;SE16__00101;SE16__00100;SE16__02082;SE16__01453;SE16__01056;SE16__01277;SE16__01110;SE16__00823;SE16__00046
map00542:O-Antigen repeat unit biosynthesis	1	SE16__00923
map00541:O-Antigen nucleotide sugar biosynthesis	9	SE16__01832;SE16__02078;SE16__01248;SE16__00322;SE16__01566;SE16__01885;SE16__00580;SE16__00444;SE16__00688;SE16__01333;SE16__01626
map00550:Peptidoglycan biosynthesis	14	SE16__01821;SE16__01844;SE16__00939;SE16__00581;SE16__01797;SE16__01374;SE16__01803;SE16__01498;SE16__01445;SE16__02107;SE16__00712;SE16__00009;SE16__01497;SE16__00644;SE16__00645;SE16__01439;SE16__01299;SE16__01709;SE16__01014;SE16__01480;SE16__00806
map00552:Teichoic acid biosynthesis	13	SE16__01627;SE16__01666;SE16__00923;SE16__00687;SE16__00392;SE16__00394;SE16__00009;SE16__00393;SE16__00442;SE16__00266;SE16__00048;SE16__01338;SE16__00720;SE16__00955;SE16__00956
map00572:Arabinogalactan biosynthesis - Mycobacterium	2	SE16__00923;SE16__01616
map00543:Exopolysaccharide biosynthesis	3	SE16__00923;SE16__02196;SE16__02275
